study id	Exclude	study name	study identifier	study published	experiment id	experiment name	chemical	animal group id	animal group name	lifestage exposed	lifestage assessed	species	species strain	generation	animal description	animal description (with N)	sex	route	treatment period	duration exposure	endpoint id	endpoint name	system	organ	effect	effect subtype	diagnostic	tags	observation time	data type	doses	dose units	response units	expected adversity direction	maximum endpoint change	low_dose	NOEL	LOEL	FEL	high_dose	key	dose index	dose	N	incidence	response	stdev	lower_ci	upper_ci	pairwise significant	percent control mean	percent control low	percent control high
173468	FALSE	Viberg et al. 2003		FALSE	1317	Developmental neurotoxicity (neonatal exposure)	PBDE 153	2394	NMRI mouse	PND 10	PND 180	Mouse	Mouse NMRI	P0	P0 Mouse, NMRI (♂)	P0 Mouse, NMRI (♂, N=19-24)	Male	oral gavage	developmental (PND 10)	PND 10	23920	Morris water maze (latency, last trial)			Learning and memory: water maze	Latency to find the platform	Morris water maze	|Last trial|Latency|	PND 180	Continuous	0.0, 0.45, 0.9, 9.0 mg/kg-day	mg/kg-day	sec	0	41.66666667	0.45		0.9		9	37002	2	0.9	20		13.9	10.86	8.82	18.98	TRUE	27.28937729	-30.44934216	85.02809674
173468	FALSE	Viberg et al. 2003		FALSE	1317	Developmental neurotoxicity (neonatal exposure)	PBDE 153	2394	NMRI mouse	PND 10	PND 180	Mouse	Mouse NMRI	P0	P0 Mouse, NMRI (♂)	P0 Mouse, NMRI (♂, N=19-24)	Male	oral gavage	developmental (PND 10)	PND 10	23920	Morris water maze (latency, last trial)			Learning and memory: water maze	Latency to find the platform	Morris water maze	|Last trial|Latency|	PND 180	Continuous	0.0, 0.45, 0.9, 9.0 mg/kg-day	mg/kg-day	sec	0	41.66666667	0.45		0.9		9	37003	3	9	19		15.47	9.95	10.67	20.27	TRUE	41.66666667	-17.11166999	100.4450033
173473	FALSE	Viberg et al. 2006		FALSE	1318	Developmental neurotoxicity (neonatal exposure)	PBDE 203	2395	NMRI mouse	PND 3	PND 90	Mouse	Mouse NMRI	P0	P0 Mouse, NMRI (♂)	P0 Mouse, NMRI (♂, N=NR)	Male	oral gavage	developmental (PND 3)	PND 3	23927	Morris water maze (latency, last trial)			Learning and memory: water maze	Latency to find platform	Morris water maze	|Last trial|Latency|	PND 90	Continuous	0.0, 16.8 mg/kg-day	mg/kg-day	sec	0	44.67455621	16.8				16.8	37024	0	0			6.76				FALSE	0		
173473	FALSE	Viberg et al. 2006		FALSE	1318	Developmental neurotoxicity (neonatal exposure)	PBDE 203	2395	NMRI mouse	PND 3	PND 90	Mouse	Mouse NMRI	P0	P0 Mouse, NMRI (♂)	P0 Mouse, NMRI (♂, N=NR)	Male	oral gavage	developmental (PND 3)	PND 3	23927	Morris water maze (latency, last trial)			Learning and memory: water maze	Latency to find platform	Morris water maze	|Last trial|Latency|	PND 90	Continuous	0.0, 16.8 mg/kg-day	mg/kg-day	sec	0	44.67455621	16.8				16.8	37025	1	16.8			9.78				FALSE	44.67455621		
173473	FALSE	Viberg et al. 2006		FALSE	1321	Developmental neurotoxicity (neonatal exposure)	PBDE 203	2398	NMRI mouse	PND 10	PND 90	Mouse	Mouse NMRI	P0	P0 Mouse, NMRI (♂)	P0 Mouse, NMRI (♂, N=NR)	Male	oral gavage	developmental (PND 10)	PND 10	23947	Morris water maze (latency, last trial)			Learning and memory: water maze	Latency to find platform	Morris water maze	|Last trial|Latency|	PND 90	Continuous	0.0, 16.8 mg/kg-day	mg/kg-day	sec	0	60.45714286	16.8				16.8	37080	0	0			8.75				FALSE	0		
173473	FALSE	Viberg et al. 2006		FALSE	1321	Developmental neurotoxicity (neonatal exposure)	PBDE 203	2398	NMRI mouse	PND 10	PND 90	Mouse	Mouse NMRI	P0	P0 Mouse, NMRI (♂)	P0 Mouse, NMRI (♂, N=NR)	Male	oral gavage	developmental (PND 10)	PND 10	23947	Morris water maze (latency, last trial)			Learning and memory: water maze	Latency to find platform	Morris water maze	|Last trial|Latency|	PND 90	Continuous	0.0, 16.8 mg/kg-day	mg/kg-day	sec	0	60.45714286	16.8				16.8	37081	1	16.8			14.04				TRUE	60.45714286		
173473	FALSE	Viberg et al. 2006		FALSE	1319	Developmental neurotoxicity (neonatal exposure)	PBDE 206	2397	NMRI mouse	PND 10	PND 90	Mouse	Mouse NMRI	P0	P0 Mouse, NMRI (♂)	P0 Mouse, NMRI (♂, N=NR)	Male	oral gavage	developmental (PND 10)	PND 10	23941	Morris water maze (latency, last trial)			Learning and memory: water maze	Latency to find platform	Morris water maze	|Last trial|Latency|	PND 90	Continuous	0.0, 18.5 mg/kg-day	mg/kg-day	sec	0	45.14285714	18.5				18.5	37068	0	0			8.75				FALSE	0		
173473	FALSE	Viberg et al. 2006		FALSE	1319	Developmental neurotoxicity (neonatal exposure)	PBDE 206	2397	NMRI mouse	PND 10	PND 90	Mouse	Mouse NMRI	P0	P0 Mouse, NMRI (♂)	P0 Mouse, NMRI (♂, N=NR)	Male	oral gavage	developmental (PND 10)	PND 10	23941	Morris water maze (latency, last trial)			Learning and memory: water maze	Latency to find platform	Morris water maze	|Last trial|Latency|	PND 90	Continuous	0.0, 18.5 mg/kg-day	mg/kg-day	sec	0	45.14285714	18.5				18.5	37069	1	18.5			12.7				FALSE	45.14285714		
174125	FALSE	Buratovic et al. 2014		FALSE	1330	Developmental neurotoxicity (neonatal exposure)	PBDE 209	2408	NMRI mice	PND 3		Mouse	Mouse NMRI	F1	F1 Mouse, NMRI (♂)	F1 Mouse, NMRI (♂, N=13-15)	Male	oral gavage	developmental (PND 3)	PND 3	24014	Morris water maze (latency, last trial)			learning and memory: Morris water maze	Latency to find platform	Morris water maze	|Last trial|	5 months	Continuous	0.0, 3.4, 7.9 mg/kg-day	mg/kg-day	sec	0	62.5	3.4				7.9	37339	0	0	13		8				FALSE	0		
174125	FALSE	Buratovic et al. 2014		FALSE	1330	Developmental neurotoxicity (neonatal exposure)	PBDE 209	2408	NMRI mice	PND 3		Mouse	Mouse NMRI	F1	F1 Mouse, NMRI (♂)	F1 Mouse, NMRI (♂, N=13-15)	Male	oral gavage	developmental (PND 3)	PND 3	24014	Morris water maze (latency, last trial)			learning and memory: Morris water maze	Latency to find platform	Morris water maze	|Last trial|	5 months	Continuous	0.0, 3.4, 7.9 mg/kg-day	mg/kg-day	sec	0	62.5	3.4				7.9	37340	1	3.4	15		13				FALSE	62.5		
