study id	Exclude	Exclude Reason	study name	study identifier	study published	experiment id	experiment name	chemical	animal group id	animal group name	lifestage exposed	lifestage assessed	species	species strain	strain.abbr	generation	animal description	animal description (with N)	sex	route	treatment period	duration exposure	endpoint id	endpoint name	system	organ	effect	effect subtype	diagnostic	tags	observation time	data type	doses	dose units	response units	expected adversity direction	maximum endpoint change	low_dose	NOEL	LOEL	FEL	high_dose	key	dose index	dose	N	incidence	response	stdev	lower_ci	upper_ci	pairwise significant	percent control mean	percent control low	percent control high
173448	FALSE		Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2248	Sprague-Dawley rat (F1)	GD 0 - PND 4	PND 4	Rat	Rat Crj:CD(SD)IGS	SD	F1	F1 Rat, Crj:CD(SD)IGS (♂)	F1 Rat, Crj:CD(SD)IGS (♂, N=22-24)	Male	oral diet	developmental (GD 0 to PND 4)	GD 0 to PND 4	23074	AGD (mm)			AGD (mm)				PND 0	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	4.359673025	56				1375	35585	0	0	22		3.67	0.31	3.53	3.81	FALSE	0	-4.9917791	4.9917791
173448	FALSE		Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2248	Sprague-Dawley rat (F1)	GD 0 - PND 4	PND 4	Rat	Rat Crj:CD(SD)IGS	SD	F1	F1 Rat, Crj:CD(SD)IGS (♂)	F1 Rat, Crj:CD(SD)IGS (♂, N=22-24)	Male	oral diet	developmental (GD 0 to PND 4)	GD 0 to PND 4	23074	AGD (mm)			AGD (mm)				PND 0	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	4.359673025	56				1375	35586	1	56	22		3.72	0.29	3.59	3.85	FALSE	1.36239782	-3.506267899	6.23106354
173448	FALSE		Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2248	Sprague-Dawley rat (F1)	GD 0 - PND 4	PND 4	Rat	Rat Crj:CD(SD)IGS	SD	F1	F1 Rat, Crj:CD(SD)IGS (♂)	F1 Rat, Crj:CD(SD)IGS (♂, N=22-24)	Male	oral diet	developmental (GD 0 to PND 4)	GD 0 to PND 4	23074	AGD (mm)			AGD (mm)				PND 0	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	4.359673025	56				1375	35587	2	267	24		3.83	0.35	3.68	3.98	FALSE	4.359673025	-0.943821322	9.663167371
173448	FALSE		Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2248	Sprague-Dawley rat (F1)	GD 0 - PND 4	PND 4	Rat	Rat Crj:CD(SD)IGS	SD	F1	F1 Rat, Crj:CD(SD)IGS (♂)	F1 Rat, Crj:CD(SD)IGS (♂, N=22-24)	Male	oral diet	developmental (GD 0 to PND 4)	GD 0 to PND 4	23074	AGD (mm)			AGD (mm)				PND 0	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	4.359673025	56				1375	35588	3	1375	22		3.56	0.28	3.44	3.68	FALSE	-2.997275204	-7.675679816	1.681129408
173448	TRUE	Remove these data because these duplicate the PND0 AGD data	Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2248	Sprague-Dawley rat (F1)	GD 0 - PND 4	PND 4	Rat	Rat Crj:CD(SD)IGS	SD	F1	F1 Rat, Crj:CD(SD)IGS (♂)	F1 Rat, Crj:CD(SD)IGS (♂, N=22-24)	Male	oral diet	developmental (GD 0 to PND 4)	GD 0 to PND 4	23075	AGD (mm)			AGD (mm)				PND 4	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	-3.533568905	56				1375	35589	0	0	22		5.66	0.5	5.44	5.88	FALSE	0	-5.220514447	5.220514447
173448	TRUE	Remove these data because these duplicate the PND0 AGD data	Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2248	Sprague-Dawley rat (F1)	GD 0 - PND 4	PND 4	Rat	Rat Crj:CD(SD)IGS	SD	F1	F1 Rat, Crj:CD(SD)IGS (♂)	F1 Rat, Crj:CD(SD)IGS (♂, N=22-24)	Male	oral diet	developmental (GD 0 to PND 4)	GD 0 to PND 4	23075	AGD (mm)			AGD (mm)				PND 4	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	-3.533568905	56				1375	35590	1	56	22		5.46	0.44	5.26	5.66	FALSE	-3.533568905	-8.353686082	1.286548273
173448	TRUE	Remove these data because these duplicate the PND0 AGD data	Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2248	Sprague-Dawley rat (F1)	GD 0 - PND 4	PND 4	Rat	Rat Crj:CD(SD)IGS	SD	F1	F1 Rat, Crj:CD(SD)IGS (♂)	F1 Rat, Crj:CD(SD)IGS (♂, N=22-24)	Male	oral diet	developmental (GD 0 to PND 4)	GD 0 to PND 4	23075	AGD (mm)			AGD (mm)				PND 4	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	-3.533568905	56				1375	35591	2	267	24		5.54	0.69	5.25	5.83	FALSE	-2.120141343	-8.190038084	3.949755399
173448	TRUE	Remove these data because these duplicate the PND0 AGD data	Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2248	Sprague-Dawley rat (F1)	GD 0 - PND 4	PND 4	Rat	Rat Crj:CD(SD)IGS	SD	F1	F1 Rat, Crj:CD(SD)IGS (♂)	F1 Rat, Crj:CD(SD)IGS (♂, N=22-24)	Male	oral diet	developmental (GD 0 to PND 4)	GD 0 to PND 4	23075	AGD (mm)			AGD (mm)				PND 4	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	-3.533568905	56				1375	35592	3	1375	22		5.54	0.55	5.3	5.78	FALSE	-2.120141343	-7.555555206	3.315272521
173448	FALSE		Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2249	Sprague-Dawley rat (F2)	GD 0 - PND 4		Rat	Rat Crj:CD(SD)IGS	SD	F2	F2 Rat, Crj:CD(SD)IGS (♂)	F2 Rat, Crj:CD(SD)IGS (♂, N=22-23)	Male	parental	developmental		23096	AGD (mm)			AGD (mm)				PND 0	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	-1.101928375	56				1375	35595	0	0	23		3.63	0.29	3.5	3.76	FALSE	0	-4.617410902	4.617410902
173448	FALSE		Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2249	Sprague-Dawley rat (F2)	GD 0 - PND 4		Rat	Rat Crj:CD(SD)IGS	SD	F2	F2 Rat, Crj:CD(SD)IGS (♂)	F2 Rat, Crj:CD(SD)IGS (♂, N=22-23)	Male	parental	developmental		23096	AGD (mm)			AGD (mm)				PND 0	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	-1.101928375	56				1375	35596	1	56	23		3.59	0.17	3.52	3.66	FALSE	-1.101928375	-4.855575858	2.651719108
