study id	Exclude	Exclude Reason	study name	study identifier	study published	experiment id	experiment name	chemical	animal group id	animal group name	lifestage exposed	lifestage assessed	species	species strain	strain.abbr	generation	animal description	animal description (with N)	sex	route	treatment period	duration exposure	endpoint id	endpoint name	system	organ	effect	effect subtype	diagnostic	tags	observation time	data type	doses	dose units	response units	expected adversity direction	maximum endpoint change	low_dose	NOEL	LOEL	FEL	high_dose	key	dose index	dose	N	incidence	response	stdev	lower_ci	upper_ci	pairwise significant	percent control mean	percent control low	percent control high
173448	FALSE		Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2249	Sprague-Dawley rat (F2)	GD 0 - PND 4		Rat	Rat Crj:CD(SD)IGS	SD	F2	F2 Rat, Crj:CD(SD)IGS (♂)	F2 Rat, Crj:CD(SD)IGS (♂, N=22-23)	Male	parental	developmental		23096	AGD (mm)			AGD (mm)				PND 0	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	-1.101928375	56				1375	35597	2	267	22		3.64	0.2	3.55	3.73	FALSE	0.275482094	-3.726991277	4.277955464
173448	FALSE		Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2249	Sprague-Dawley rat (F2)	GD 0 - PND 4		Rat	Rat Crj:CD(SD)IGS	SD	F2	F2 Rat, Crj:CD(SD)IGS (♂)	F2 Rat, Crj:CD(SD)IGS (♂, N=22-23)	Male	parental	developmental		23096	AGD (mm)			AGD (mm)				PND 0	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	-1.101928375	56				1375	35598	3	1375	23		3.65	0.24	3.55	3.75	FALSE	0.550964187	-3.701002616	4.802930991
173448	TRUE	Remove these data because these duplicate the PND0 AGD data.	Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2249	Sprague-Dawley rat (F2)	GD 0 - PND 4		Rat	Rat Crj:CD(SD)IGS	SD	F2	F2 Rat, Crj:CD(SD)IGS (♂)	F2 Rat, Crj:CD(SD)IGS (♂, N=22-23)	Male	parental	developmental		23100	AGD (mm)			AGD (mm)				PND 4	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	-2.076124567	56				1375	35599	0	0	23		5.78	0.42	5.6	5.96	FALSE	0	-4.199799941	4.199799941
173448	TRUE	Remove these data because these duplicate the PND0 AGD data.	Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2249	Sprague-Dawley rat (F2)	GD 0 - PND 4		Rat	Rat Crj:CD(SD)IGS	SD	F2	F2 Rat, Crj:CD(SD)IGS (♂)	F2 Rat, Crj:CD(SD)IGS (♂, N=22-23)	Male	parental	developmental		23100	AGD (mm)			AGD (mm)				PND 4	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	-2.076124567	56				1375	35600	1	56	23		5.66	0.39	5.49	5.83	FALSE	-2.076124567	-6.083747694	1.931498559
173448	TRUE	Remove these data because these duplicate the PND0 AGD data.	Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2249	Sprague-Dawley rat (F2)	GD 0 - PND 4		Rat	Rat Crj:CD(SD)IGS	SD	F2	F2 Rat, Crj:CD(SD)IGS (♂)	F2 Rat, Crj:CD(SD)IGS (♂, N=22-23)	Male	parental	developmental		23100	AGD (mm)			AGD (mm)				PND 4	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	-2.076124567	56				1375	35601	2	267	22		5.73	0.36	5.57	5.89	FALSE	-0.865051903	-4.7945734	3.064469593
173448	TRUE	Remove these data because these duplicate the PND0 AGD data.	Fujii et al. 2005		FALSE	1190	Two-generation study	DEP	2249	Sprague-Dawley rat (F2)	GD 0 - PND 4		Rat	Rat Crj:CD(SD)IGS	SD	F2	F2 Rat, Crj:CD(SD)IGS (♂)	F2 Rat, Crj:CD(SD)IGS (♂, N=22-23)	Male	parental	developmental		23100	AGD (mm)			AGD (mm)				PND 4	Continuous	0.0, 56.0, 267.0, 1375.0 mg/kg-day	mg/kg-day	mm	0	-2.076124567	56				1375	35602	3	1375	23		5.77	0.49	5.56	5.98	FALSE	-0.173010381	-4.732892661	4.386871899
173454	FALSE		Christiansen et al. 2009		FALSE	1196	Developmental toxicity	DEHP	2255	Wistar rat	GD 7 - 21	PND 0	Rat	Rat Wistar	W	F1	F1 Rat, Wistar (♂)	F1 Rat, Wistar (♂, N=5-13)	Male	oral gavage	developmental		23170	AGD (mm/cube root BW)			AGD (mm/cube root BW)				PND 0	Continuous	0.0, 3.0, 15.0, 30.0 mg/kg-day	mg/kg-day	mm/cube root BW	0	-1.769911504	3				30	35623	0	0	13		11.3	0.2	11.18	11.42	FALSE	0	-1.360664159	1.360664159
173454	FALSE		Christiansen et al. 2009		FALSE	1196	Developmental toxicity	DEHP	2255	Wistar rat	GD 7 - 21	PND 0	Rat	Rat Wistar	W	F1	F1 Rat, Wistar (♂)	F1 Rat, Wistar (♂, N=5-13)	Male	oral gavage	developmental		23170	AGD (mm/cube root BW)			AGD (mm/cube root BW)				PND 0	Continuous	0.0, 3.0, 15.0, 30.0 mg/kg-day	mg/kg-day	mm/cube root BW	0	-1.769911504	3				30	35624	1	3	5		11.1	0.6	10.36	11.84	FALSE	-1.769911504	-6.519088965	2.979265956
173454	FALSE		Christiansen et al. 2009		FALSE	1196	Developmental toxicity	DEHP	2255	Wistar rat	GD 7 - 21	PND 0	Rat	Rat Wistar	W	F1	F1 Rat, Wistar (♂)	F1 Rat, Wistar (♂, N=5-13)	Male	oral gavage	developmental		23170	AGD (mm/cube root BW)			AGD (mm/cube root BW)				PND 0	Continuous	0.0, 3.0, 15.0, 30.0 mg/kg-day	mg/kg-day	mm/cube root BW	0	-1.769911504	3				30	35625	2	15	7		11.2	0.2	11.02	11.38	FALSE	-0.884955752	-2.506237788	0.736326284
173454	FALSE		Christiansen et al. 2009		FALSE	1196	Developmental toxicity	DEHP	2255	Wistar rat	GD 7 - 21	PND 0	Rat	Rat Wistar	W	F1	F1 Rat, Wistar (♂)	F1 Rat, Wistar (♂, N=5-13)	Male	oral gavage	developmental		23170	AGD (mm/cube root BW)			AGD (mm/cube root BW)				PND 0	Continuous	0.0, 3.0, 15.0, 30.0 mg/kg-day	mg/kg-day	mm/cube root BW	0	-1.769911504	3				30	35626	3	30	7		11.5	0.3	11.22	11.78	FALSE	1.769911504	-0.427104614	3.966927623
173452	FALSE		Struve et al. 2009		FALSE	1207	Developmental toxicity	DBP	2263	Sprague-Dawley rat	GD 12 - 19	GD 19	Rat	Rat Crl:CD(SD)	SD	F1	F1 Rat, Crl:CD(SD) (♂)	F1 Rat, Crl:CD(SD) (♂, N=7-9)	Male	oral diet	developmental		23225	AGD (mm)			AGD (mm)				GD 19	Continuous	0.0, 112.4, 582.1 mg/kg-day	mg/kg-day	mm	0	-14.35897436	112.4				582.1	35732	0	0	9		1.95	0.84	1.3	2.6	FALSE	0	-39.80104631	39.80104631
173452	FALSE		Struve et al. 2009		FALSE	1207	Developmental toxicity	DBP	2263	Sprague-Dawley rat	GD 12 - 19	GD 19	Rat	Rat Crl:CD(SD)	SD	F1	F1 Rat, Crl:CD(SD) (♂)	F1 Rat, Crl:CD(SD) (♂, N=7-9)	Male	oral diet	developmental		23225	AGD (mm)			AGD (mm)				GD 19	Continuous	0.0, 112.4, 582.1 mg/kg-day	mg/kg-day	mm	0	-14.35897436	112.4				582.1	35733	1	112.4	7		1.9	0.714352854	1.24	2.56	FALSE	-2.564102564	-41.14466688	36.01646175
173452	FALSE		Struve et al. 2009		FALSE	1207	Developmental toxicity	DBP	2263	Sprague-Dawley rat	GD 12 - 19	GD 19	Rat	Rat Crl:CD(SD)	SD	F1	F1 Rat, Crl:CD(SD) (♂)	F1 Rat, Crl:CD(SD) (♂, N=7-9)	Male	oral diet	developmental		23225	AGD (mm)			AGD (mm)				GD 19	Continuous	0.0, 112.4, 582.1 mg/kg-day	mg/kg-day	mm	0	-14.35897436	112.4				582.1	35734	2	582.1	7		1.67	0.476235236	1.23	2.11	TRUE	-14.35897436	-44.49632864	15.77837992
174393	FALSE		Barlow et al. 2004		FALSE	1212	Developmental toxicity	DBP	2269	Sprague Dawley rats	GD 12 to 21	PND 1, PND 180	Rat	Rat Crl:CD(SD)	SD	F1	F1 Rat, Crl:CD(SD) (♂)	F1 Rat, Crl:CD(SD) (♂, N=10-11)	Male	oral gavage	developmental		23258	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 100.0, 500.0 mg/kg-day	mg/kg-day	mm	0	-14.02214022	100	100	500		500	35783	0	0	10		2.71	0.158113883	2.6	2.82	FALSE	0	-5.114130226	5.114130226
174393	FALSE		Barlow et al. 2004		FALSE	1212	Developmental toxicity	DBP	2269	Sprague Dawley rats	GD 12 to 21	PND 1, PND 180	Rat	Rat Crl:CD(SD)	SD	F1	F1 Rat, Crl:CD(SD) (♂)	F1 Rat, Crl:CD(SD) (♂, N=10-11)	Male	oral gavage	developmental		23258	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 100.0, 500.0 mg/kg-day	mg/kg-day	mm	0	-14.02214022	100	100	500		500	35784	1	100	10		2.66	0.158113883	2.55	2.77	FALSE	-1.84501845	-6.912189986	3.222153086
174393	FALSE		Barlow et al. 2004		FALSE	1212	Developmental toxicity	DBP	2269	Sprague Dawley rats	GD 12 to 21	PND 1, PND 180	Rat	Rat Crl:CD(SD)	SD	F1	F1 Rat, Crl:CD(SD) (♂)	F1 Rat, Crl:CD(SD) (♂, N=10-11)	Male	oral gavage	developmental		23258	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 100.0, 500.0 mg/kg-day	mg/kg-day	mm	0	-14.02214022	100	100	500		500	35785	2	500	11		2.33	0.198997487	2.2	2.46	TRUE	-14.02214022	-19.36049271	-8.68378773
174393	TRUE	Remove these data because these PND180 data duplicate the PND1 data.	Barlow et al. 2004		FALSE	1212	Developmental toxicity	DBP	2269	Sprague Dawley rats	GD 12 to 21	PND 1, PND 180	Rat	Rat Crl:CD(SD)	SD	F1	F1 Rat, Crl:CD(SD) (♂)	F1 Rat, Crl:CD(SD) (♂, N=10-11)	Male	oral gavage	developmental		23263	AGD (mm)			AGD (mm)				PND 180	Continuous	0.0, 100.0, 500.0 mg/kg-day	mg/kg-day	mm	0	-10.83591331	100				500	35796	0	0	10		3.23	0.126491106	3.14	3.32	FALSE	0	-3.432642207	3.432642207
174393	TRUE	Remove these data because these PND180 data duplicate the PND1 data.	Barlow et al. 2004		FALSE	1212	Developmental toxicity	DBP	2269	Sprague Dawley rats	GD 12 to 21	PND 1, PND 180	Rat	Rat Crl:CD(SD)	SD	F1	F1 Rat, Crl:CD(SD) (♂)	F1 Rat, Crl:CD(SD) (♂, N=10-11)	Male	oral gavage	developmental		23263	AGD (mm)			AGD (mm)				PND 180	Continuous	0.0, 100.0, 500.0 mg/kg-day	mg/kg-day	mm	0	-10.83591331	100				500	35797	1	100	10		3.16	0.158113883	3.05	3.27	FALSE	-2.167182663	-6.020028058	1.685662733
174393	TRUE	Remove these data because these PND180 data duplicate the PND1 data.	Barlow et al. 2004		FALSE	1212	Developmental toxicity	DBP	2269	Sprague Dawley rats	GD 12 to 21	PND 1, PND 180	Rat	Rat Crl:CD(SD)	SD	F1	F1 Rat, Crl:CD(SD) (♂)	F1 Rat, Crl:CD(SD) (♂, N=10-11)	Male	oral gavage	developmental		23263	AGD (mm)			AGD (mm)				PND 180	Continuous	0.0, 100.0, 500.0 mg/kg-day	mg/kg-day	mm	0	-10.83591331	100				500	35798	2	500	11		2.88	0.132664992	2.79	2.97	TRUE	-10.83591331	-14.08789882	-7.583927802
174416	FALSE		Christiansen et al. 2010		FALSE	1215	Developmental toxicity	DEHP	2272	Wistar rats: Study 1	GD 7 - 21, PND 1 - 16	PND 1, PND 16	Rat	Rat Wistar Han IGS	W	F1	F1 Rat, Wistar Han IGS (♂)	F1 Rat, Wistar Han IGS (♂, N=6-15)	Male	oral gavage	developmental		23302	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 10.0, 30.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	mm	0	-13.58695652	10				900	35829	0	0	15		3.68	0.426028168	3.44	3.92	FALSE	0	-8.285446849	8.285446849
174416	FALSE		Christiansen et al. 2010		FALSE	1215	Developmental toxicity	DEHP	2272	Wistar rats: Study 1	GD 7 - 21, PND 1 - 16	PND 1, PND 16	Rat	Rat Wistar Han IGS	W	F1	F1 Rat, Wistar Han IGS (♂)	F1 Rat, Wistar Han IGS (♂, N=6-15)	Male	oral gavage	developmental		23302	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 10.0, 30.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	mm	0	-13.58695652	10				900	35830	1	10	8		3.37	0.311126984	3.11	3.63	TRUE	-8.423913043	-16.36804937	-0.479776721
174416	FALSE		Christiansen et al. 2010		FALSE	1215	Developmental toxicity	DEHP	2272	Wistar rats: Study 1	GD 7 - 21, PND 1 - 16	PND 1, PND 16	Rat	Rat Wistar Han IGS	W	F1	F1 Rat, Wistar Han IGS (♂)	F1 Rat, Wistar Han IGS (♂, N=6-15)	Male	oral gavage	developmental		23302	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 10.0, 30.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	mm	0	-13.58695652	10				900	35831	2	30	7		3.35	0.317490157	3.06	3.64	TRUE	-8.967391304	-17.29163966	-0.643142948
174416	FALSE		Christiansen et al. 2010		FALSE	1215	Developmental toxicity	DEHP	2272	Wistar rats: Study 1	GD 7 - 21, PND 1 - 16	PND 1, PND 16	Rat	Rat Wistar Han IGS	W	F1	F1 Rat, Wistar Han IGS (♂)	F1 Rat, Wistar Han IGS (♂, N=6-15)	Male	oral gavage	developmental		23302	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 10.0, 30.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	mm	0	-13.58695652	10				900	35832	3	100	7		3.38	0.317490157	3.09	3.67	TRUE	-8.152173913	-16.50710316	0.202755331
174416	FALSE		Christiansen et al. 2010		FALSE	1215	Developmental toxicity	DEHP	2272	Wistar rats: Study 1	GD 7 - 21, PND 1 - 16	PND 1, PND 16	Rat	Rat Wistar Han IGS	W	F1	F1 Rat, Wistar Han IGS (♂)	F1 Rat, Wistar Han IGS (♂, N=6-15)	Male	oral gavage	developmental		23302	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 10.0, 30.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	mm	0	-13.58695652	10				900	35833	4	300	7		3.37	0.317490157	3.08	3.66	TRUE	-8.423913043	-16.76859748	-0.079228602
174416	FALSE		Christiansen et al. 2010		FALSE	1215	Developmental toxicity	DEHP	2272	Wistar rats: Study 1	GD 7 - 21, PND 1 - 16	PND 1, PND 16	Rat	Rat Wistar Han IGS	W	F1	F1 Rat, Wistar Han IGS (♂)	F1 Rat, Wistar Han IGS (♂, N=6-15)	Male	oral gavage	developmental		23302	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 10.0, 30.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	mm	0	-13.58695652	10				900	35834	5	600	6		3.26	0.293938769	2.95	3.57	TRUE	-11.41304348	-19.64622562	-3.179861333
174416	FALSE		Christiansen et al. 2010		FALSE	1215	Developmental toxicity	DEHP	2272	Wistar rats: Study 1	GD 7 - 21, PND 1 - 16	PND 1, PND 16	Rat	Rat Wistar Han IGS	W	F1	F1 Rat, Wistar Han IGS (♂)	F1 Rat, Wistar Han IGS (♂, N=6-15)	Male	oral gavage	developmental		23302	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 10.0, 30.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	mm	0	-13.58695652	10				900	35835	6	900	7		3.18	0.317490157	2.89	3.47	TRUE	-13.58695652	-21.74045098	-5.433462062
174416	FALSE		Christiansen et al. 2010		FALSE	1215	Developmental toxicity	DEHP	2273	Wistar rats: Study 2	GD 7 - 21, PND 1 - 16	PND 1, PND 16	Rat	Rat Wistar Han IGS	W	F2	F2 Rat, Wistar Han IGS (♂)	F2 Rat, Wistar Han IGS (♂, N=6-15)	Male	oral gavage	developmental (GD 7 to 21, and PND 1 to 16)	GD 7 to 21, and PND 1 to 16	23304	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 3.0, 10.0, 30.0, 100.0 mg/kg-day	mg/kg-day	mm	0	-4.411764706	3				100	35843	0	0	15		3.4	0.271108834	3.25	3.55	FALSE	0	-5.706767669	5.706767669
174416	FALSE		Christiansen et al. 2010		FALSE	1215	Developmental toxicity	DEHP	2273	Wistar rats: Study 2	GD 7 - 21, PND 1 - 16	PND 1, PND 16	Rat	Rat Wistar Han IGS	W	F2	F2 Rat, Wistar Han IGS (♂)	F2 Rat, Wistar Han IGS (♂, N=6-15)	Male	oral gavage	developmental (GD 7 to 21, and PND 1 to 16)	GD 7 to 21, and PND 1 to 16	23304	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 3.0, 10.0, 30.0, 100.0 mg/kg-day	mg/kg-day	mm	0	-4.411764706	3				100	35844	1	3	14		3.36	0.261916017	3.21	3.51	FALSE	-1.176470588	-6.849768352	4.496827176
174416	FALSE		Christiansen et al. 2010		FALSE	1215	Developmental toxicity	DEHP	2273	Wistar rats: Study 2	GD 7 - 21, PND 1 - 16	PND 1, PND 16	Rat	Rat Wistar Han IGS	W	F2	F2 Rat, Wistar Han IGS (♂)	F2 Rat, Wistar Han IGS (♂, N=6-15)	Male	oral gavage	developmental (GD 7 to 21, and PND 1 to 16)	GD 7 to 21, and PND 1 to 16	23304	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 3.0, 10.0, 30.0, 100.0 mg/kg-day	mg/kg-day	mm	0	-4.411764706	3				100	35845	2	10	6		3.36	0.195959179	3.15	3.57	FALSE	-1.176470588	-7.273279803	4.920338627
174416	FALSE		Christiansen et al. 2010		FALSE	1215	Developmental toxicity	DEHP	2273	Wistar rats: Study 2	GD 7 - 21, PND 1 - 16	PND 1, PND 16	Rat	Rat Wistar Han IGS	W	F2	F2 Rat, Wistar Han IGS (♂)	F2 Rat, Wistar Han IGS (♂, N=6-15)	Male	oral gavage	developmental (GD 7 to 21, and PND 1 to 16)	GD 7 to 21, and PND 1 to 16	23304	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 3.0, 10.0, 30.0, 100.0 mg/kg-day	mg/kg-day	mm	0	-4.411764706	3				100	35846	3	30	6		3.38	0.195959179	3.17	3.59	FALSE	-0.588235294	-6.700596869	5.52412628
174416	FALSE		Christiansen et al. 2010		FALSE	1215	Developmental toxicity	DEHP	2273	Wistar rats: Study 2	GD 7 - 21, PND 1 - 16	PND 1, PND 16	Rat	Rat Wistar Han IGS	W	F2	F2 Rat, Wistar Han IGS (♂)	F2 Rat, Wistar Han IGS (♂, N=6-15)	Male	oral gavage	developmental (GD 7 to 21, and PND 1 to 16)	GD 7 to 21, and PND 1 to 16	23304	AGD (mm)			AGD (mm)				PND 1	Continuous	0.0, 3.0, 10.0, 30.0, 100.0 mg/kg-day	mg/kg-day	mm	0	-4.411764706	3				100	35847	4	100	8		3.25	0.197989899	3.08	3.42	FALSE	-4.411764706	-9.994067365	1.170537953
174401	FALSE		Culty et al. 2008		FALSE	1216	Developmental toxicity	DEHP	2274	Sprague Dawley rats: Group 1	GD 14 - 21	PND 60	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=3-5)	Male	oral gavage	developmental (GD 14 to PND 0)	GD 14 to PND 0	23306	AGD (mm)			AGD (mm)				PND 60	Continuous	0.0, 234.0, 469.0, 700.0, 750.0, 938.0, 1250.0 mg/kg-day	mg/kg-day	mm	0	-35.63829787	234				1250	35853	0	0	5		33.84	4.539217994	28.2	39.48	FALSE	0	-16.62787506	16.62787506
174401	FALSE		Culty et al. 2008		FALSE	1216	Developmental toxicity	DEHP	2274	Sprague Dawley rats: Group 1	GD 14 - 21	PND 60	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=3-5)	Male	oral gavage	developmental (GD 14 to PND 0)	GD 14 to PND 0	23306	AGD (mm)			AGD (mm)				PND 60	Continuous	0.0, 234.0, 469.0, 700.0, 750.0, 938.0, 1250.0 mg/kg-day	mg/kg-day	mm	0	-35.63829787	234				1250	35854	1	234	3		32.87	2.546114687	26.55	39.19	FALSE	-2.86643026	-17.11152598	11.37866546
