"","alternate","estimate","se","zval","pval","ci.lb","ci.ub","Q","Qp","I2"
"1","None (Primary Analysis)",-4.07375009866659,1.23076595181309,-3.30993077332483,0.00093319048065095,-6.48600703761841,-1.66149315971476,1.2113419610763,0.876227731025379,0
"2","Bornehag et al. 2015.0",-4.25248847174702,1.31440832495306,-3.23528723229814,0.00121520416583848,-6.82868144963463,-1.6762954938594,1.06127270505865,0.78643025631004,0
"3","Bustamante-Montes et al. 2013.0",-4.30558023760478,1.26862877206867,-3.39388506109942,0.000689086074634438,-6.79204694061066,-1.8191135345989,0.643415658851243,0.886425313103517,0
"4","Jensen et al. 2016.0",-4.34843044019426,1.37024314946463,-3.17347358524889,0.00150626607231876,-7.03405766320768,-1.66280321718085,1.003367468898,0.800437128780864,0
"5","Swan 2008.0",-3.59117819444279,1.52482986589533,-2.35513369377388,0.0185160425580427,-6.57978981414868,-0.602566574736906,0.923955161411332,0.819643365132569,0
"6","Swan et al. 2015.0",-3.68393488708763,1.44670986506441,-2.54642273205458,0.0108833302582039,-6.51943411869268,-0.84843565548258,0.948526421325903,0.813704233553008,0
"7","Bornehag et al. 2015.1",-4.06820369012965,1.20555662820933,-3.3745438372085,0.000739381387897191,-6.43105126274348,-1.70535611751582,1.1850808569287,0.880548796473391,0
"8","Bornehag et al. 2015.2",-3.93160580467618,1.22309528527437,-3.21447220998339,0.00130684564095232,-6.32882851347469,-1.53438309587766,1.50565121515787,0.825639956205209,0
"9","Bornehag et al. 2015.3",-4.08809558021799,1.22547081366698,-3.33593875482449,0.000850118898705011,-6.48997423911028,-1.68621692132571,1.18091040230234,0.881231484246925,0
"10","Bornehag et al. 2015.4",-3.98688657067545,1.22859364845099,-3.24508154156756,0.00117416996062902,-6.39488587327405,-1.57888726807685,1.38453428526968,0.84687852869718,0
"11","Bornehag et al. 2015.5",-3.43571168297216,1.08479089019249,-3.16716494767254,0.00153932979030662,-5.56186275850659,-1.30956060743773,2.27224889285607,0.685826042626425,0
"12","Bornehag et al. 2015.6",-3.43534924374839,1.03278580997572,-3.3262940007175,0.000880090462200474,-5.45957223504482,-1.41112625245195,2.07139913847667,0.722628485104701,0
"13","Bornehag et al. 2015.7",-3.32142154462232,1.06716314300817,-3.11238404960251,0.00185582899689314,-5.4130228705469,-1.22982021869773,2.53348467449929,0.638650048078307,0
"14","Bornehag et al. 2015.8",-3.44334337379142,1.07323594769272,-3.20837499078749,0.00133487325890973,-5.54684717818286,-1.33983956939999,2.19826004073768,0.699347838498873,0
"15","Bornehag et al. 2015.9",-3.13400193658262,1.14138135699982,-2.74579737732927,0.00603640325327597,-5.37106828892772,-0.896935584237525,3.33830952375903,0.502885430008203,8.36758740943412
"16","Bustamante-Montes et al. 2013.1",-3.46461620534909,1.12045102663749,-3.09216210524303,0.00198704306633485,-5.66065986399949,-1.26857254669868,2.6411659586289,0.619548345744283,0
"17","Jensen et al. 2016.1",-3.06177073727113,1.17209599899335,-2.61221840182095,0.0089956766315002,-5.35903668172159,-0.764504792820675,3.39606096336371,0.493857420422869,14.5075117022899
"18","Swan 2008.1",-4.77926178945113,1.25558642180442,-3.80639811521918,0.000141005341111317,-7.24016595566531,-2.31835762323696,2.80950943311235,0.590192332947919,0
"19","Swan 2008.2",-4.66115133646372,1.26881711168121,-3.67361954181686,0.000239138720839615,-7.14798717832702,-2.17431549460041,2.52466504231826,0.640224648393574,0
"20","Martino-Andrade et al. 2016.1",-3.15841603428962,1.31755579311474,-2.39717820740102,0.0165218860482288,-5.74077793641661,-0.576054132162628,1.72207700859744,0.786703509402934,0
"21","Martino-Andrade et al. 2016.2",-3.35014447980235,1.3052112374248,-2.56674504765391,0.0102658061132125,-5.90831149737192,-0.791977462232777,1.23465385301302,0.872360794528693,0
"22","Martino-Andrade et al. 2016.3",-2.93245771832933,1.29927804321891,-2.25699012896753,0.0240086915743745,-5.47899588894207,-0.385919547716584,2.34342209782493,0.672875007966616,0
"23","Martino-Andrade et al. 2016.4",-2.92478029695052,1.28531807798218,-2.27553035085458,0.0228741341130314,-5.44395743847383,-0.405603155427201,2.25558146425982,0.688867381861673,0
"24","Martino-Andrade et al. 2016.5",-3.19889115824166,1.32109801728608,-2.42138820616287,0.0154613559098635,-5.78819569216964,-0.609586624313672,1.62522496502436,0.804251444023308,0
"25","Martino-Andrade et al. 2016.6",-1.68394916642376,1.72794266585181,-0.974539954190924,0.329788511088815,-5.07065455884343,1.70275622599591,7.46961285755259,0.113056726262459,47.577826385497
"26","Martino-Andrade et al. 2016.7",-2.16190000512838,1.41613078093537,-1.52662454219124,0.126854400683264,-4.93746533316027,0.613665322903522,4.2969285943771,0.367309857812197,26.8463476469412
"27","Martino-Andrade et al. 2016.8",-1.51292090075242,1.82150556311409,-0.830588130714184,0.406206342207048,-5.08300620209537,2.05716440059054,9.246298702144,0.0552295324082241,54.2561113017274
"28","Martino-Andrade et al. 2016.9",-1.63871410286635,1.7215991030779,-0.951855806579267,0.341170114966981,-5.01298634071549,1.73555813498278,8.16129359680562,0.0858453186620351,50.2518050174882
"29","Martino-Andrade et al. 2016.10",-1.78931928362075,1.66567710821072,-1.07422937783113,0.282719888471372,-5.05398642558659,1.47534785834509,6.63523977467528,0.156466149594741,43.4253298754822
"30","Martino-Andrade et al. 2016.11",-2.69445194090269,1.37663946414956,-1.95726768777999,0.050316004372285,-5.39261571033235,0.00371182852696439,3.40124617287354,0.493052032803849,5.68092205836723
"31","Martino-Andrade et al. 2016.12",-2.60217596118614,1.39179773608219,-1.86965095123022,0.0615323049044389,-5.33004939767161,0.125697475299337,3.46233007102491,0.483629208304317,9.02656839883974
