"","alternate","estimate","se","zval","pval","ci.lb","ci.ub","Q","Qp","I2"
"32","Martino-Andrade et al. 2016.13",-2.53202919486635,1.41373539296643,-1.79102058805602,0.0732899912420056,-5.30289964875014,0.238841259017444,3.60143307726706,0.46262372349899,11.9015360106215
"33","Martino-Andrade et al. 2016.14",-2.55062491283793,1.39468034205821,-1.8288240221941,0.0674259750796479,-5.28414815321802,0.18289832754216,3.48016498735321,0.480900704110215,10.8334357448508
"34","Martino-Andrade et al. 2016.15",-2.91466762133958,1.3238324838202,-2.20168915399982,0.0276872733861105,-5.50933161119139,-0.320003631487781,2.68679854279371,0.611526666746744,0
"35","Martino-Andrade et al. 2016.16",-2.66452014783197,1.178799147886,-2.2603682337321,0.0237984063361924,-4.97492402269502,-0.354116272968913,2.42592683637155,0.657947006804652,0
"36","Martino-Andrade et al. 2016.17",-2.76384906623031,1.15069440681426,-2.40189667201227,0.0163103147963396,-5.01916866079794,-0.508529471662674,2.04956550267223,0.726642739412164,0
"37","Martino-Andrade et al. 2016.18",-2.3487117727616,1.29658510130559,-1.81145978802052,0.0700697082828849,-4.88997187421178,0.192548328688582,3.3706141892426,0.497822346747841,16.7032234715578
"38","Martino-Andrade et al. 2016.19",-2.38200909659287,1.26309674522136,-1.88584849545742,0.0593153737256272,-4.85763322621651,0.0936150330307632,3.18591549813354,0.527208835378153,14.4780074589571
"39","Martino-Andrade et al. 2016.20",-2.8236361245337,1.18180808207401,-2.38925098530242,0.0168827643992982,-5.13993740203712,-0.507334847030279,2.01145177999762,0.733652456607228,0
"40","Swan et al. 2015.21",-3.94627844353685,1.2013145749891,-3.28496675699839,0.00101994404803634,-6.30081174461854,-1.59174514245517,1.0544402314126,0.901431746052798,0
"41","Swan et al. 2015.22",-4.32694337585956,1.20484868142219,-3.59127535480395,0.000329063744964414,-6.68840339826763,-1.96548335345149,1.59323881354798,0.810006817183955,0
"42","Swan et al. 2015.23",-4.1691890149851,1.18837769779129,-3.50830297701979,0.000450975135127178,-6.49836650268665,-1.84001152728355,1.29443787168762,0.862318520352661,0
"43","Swan et al. 2015.24",-3.74855607730077,1.23519561391704,-3.03478739324,0.00240705302270053,-6.16949499444001,-1.32761716016154,0.955887929588451,0.916409413819361,0
"44","Swan et al. 2015.25",-3.1718798451805,0.991413173704637,-3.19935212614541,0.0013773682568899,-5.11501395944014,-1.22874573092086,1.18472820935796,0.880606561571414,0
"45","Swan et al. 2015.26",-2.96640254468577,0.942875422685254,-3.14612352100304,0.00165450114617905,-4.81440441505685,-1.11840067431469,1.37616076293572,0.848327625418698,0
"46","Swan et al. 2015.27",-3.42370904372369,0.956112349217755,-3.58086478699371,0.000342458853851264,-5.29765481336448,-1.54976327408291,1.00597163725436,0.908889146507043,0
"47","Swan et al. 2015.28",-3.25872932389772,0.929213642544277,-3.50697533343893,0.000453231159556051,-5.07995459722778,-1.43750405056766,1.09557412182273,0.894973783999881,0
"48","Swan et al. 2015.29",-2.73347364913281,0.997318688819467,-2.74082264754152,0.00612855777926741,-4.68818236032767,-0.778764937937941,1.77103039289317,0.777778033787777,0
"49","Only sumDEHP",-3.91145190772002,1.59867989788623,-2.44667610626226,0.0144180341655374,-7.04480693038521,-0.77809688505484,0.479273689531742,0.78691358096881,0
"50","Only AGD (as)",-3.59117819444279,1.52482986589533,-2.35513369377388,0.0185160425580427,-6.57978981414868,-0.602566574736906,0.923955161411332,0.819643365132569,0
"51","Only MEHP",-4.16502649147118,1.29829863512981,-3.20806506205311,0.0013363126399637,-6.70964505750312,-1.62040792543925,0.866727044414319,0.833448992969354,0
"52","Only AGD (ap)",-2.22896824015602,0.789716155432739,-2.82249289801425,0.00476518774131127,-3.77678346281363,-0.681153017498419,2.9875781307476,0.559906318003028,0
"53","Only AGD (as) and sum DEHP",-3.91145190772002,1.59867989788623,-2.44667610626226,0.0144180341655374,-7.04480693038521,-0.77809688505484,0.479273689531742,0.78691358096881,0
"54","Only AGD (ap) and sum DEHP",-1.95692835012121,0.91356491978778,-2.14207913168973,0.0321871148603702,-3.74748269044448,-0.166374009797935,0.62840649842434,0.730370565830413,0
"55","Only AGD (as) and MEHP",-3.65139686432952,1.65931751140442,-2.20054139080292,0.0277685066582237,-6.90359942559882,-0.399194303060226,0.619652265824592,0.73357448959716,0
"56","Only AGD (ap) and MEHP",-2.52665079010536,0.841842537553263,-3.00133418946592,0.00268799385117063,-4.17663184436356,-0.876669735847156,2.17786142623641,0.536322133499528,0
