"","phthalate","species","effect","b.lab","b.parm","b","ci.lb","ci.ub","pval","tau","I2","QEp","AICc"
"1","DEHP","Rat","AGD log(Ratio of mean)x100","Rat DEHP LE Overall","intrcpt",-5.48585062076783,-14.329660099719,3.3579588581833,0.224071197429574,9.58948197287126,90.383922752145,2.30263506216244e-08,45.8447922344885
"2","DEHP","Rat","AGD log(Ratio of mean)x100","Rat DEHP SD Overall","intrcpt",-3.27425309626179,-4.33727337184841,-2.21123282067517,1.57037985694034e-09,0,0,0.987521079155497,448.468048397551
"3","DEHP","Rat","AGD log(Ratio of mean)x100","Rat DEHP W Overall","intrcpt",-5.11190174292974,-7.66551097818547,-2.55829250767402,8.72636088581055e-05,4.94467912116162,75.2549872150658,1.80521556081413e-09,168.407486762538
"4","DEHP","Rat","AGD log(Ratio of mean)x100","Rat DEHP LE Trend in log10 dose","log10(dose)",-6.45837499922682,-16.2088719067004,3.29212190824678,0.194215541893151,8.78190843095814,88.7585384104672,6.58845200591554e-06,51.9069155811348
"5","DEHP","Rat","AGD log(Ratio of mean)x100","Rat DEHP SD Trend in log10 dose","log10(dose)",-0.918933505965502,-1.95854091286857,0.120673900937566,0.0831919792583764,0,0,0.993461772841868,442.557560582909
"6","DEHP","Rat","AGD log(Ratio of mean)x100","Rat DEHP W Trend in log10 dose","log10(dose)",-3.13624136279742,-5.21275863797144,-1.0597240876234,0.00307432810874329,3.93967542612631,65.6561809011661,8.94904261264403e-06,157.70499545978
"7","DEHP","Rat","AGD log(Ratio of mean)x100","Rat DEHP LE Linear in dose100","dose100",-1.9047416098792,-3.03616050008631,-0.773322719672084,0.000968241930526245,5.21460116114155,73.9791516001959,0.00448047368391694,41.8098076642402
"8","DEHP","Rat","AGD log(Ratio of mean)x100","Rat DEHP SD Linear-Quadratic in dose100","dose100",-2.39512327949224,-3.7774378939994,-1.01280866498508,0.000683756604412599,0,0,0.899156760521825,452.307758548805
"9","DEHP","Rat","AGD log(Ratio of mean)x100","Rat DEHP SD Linear-Quadratic in dose100","I(dose100^2)",0.224236192751013,0.0143141651437299,0.434158220358297,0.036294733644438,0,0,0.899156760521825,452.307758548805
"10","DEHP","Rat","AGD log(Ratio of mean)x100","Rat DEHP W Linear-Quadratic in dose100","dose100",-3.58211596052513,-5.57168064693685,-1.59255127411341,0.000417414871622487,1.38359539767091,22.0448736296119,0.386049399263681,143.72643155113
"11","DEHP","Rat","AGD log(Ratio of mean)x100","Rat DEHP W Linear-Quadratic in dose100","I(dose100^2)",0.176759440740876,-0.0943267503050815,0.447845631786834,0.201257249142477,1.38359539767091,22.0448736296119,0.386049399263681,143.72643155113
