study id	Exclude	Exclude Reason	study name	study identifier	study published	experiment id	experiment name	chemical	animal group id	animal group name	lifestage exposed	lifestage assessed	species	species strain	strain.abbr	generation	animal description	animal description (with N)	sex	route	treatment period	duration exposure	endpoint id	endpoint name	system	organ	effect	effect subtype	diagnostic	tags	observation time	data type	doses	dose units	response units	expected adversity direction	maximum endpoint change	low_dose	NOEL	LOEL	FEL	high_dose	key	dose index	dose	N	incidence	response	stdev	lower_ci	upper_ci	pairwise significant	percent control mean	percent control low	percent control high
174401	FALSE		Culty et al. 2008		FALSE	1216	Developmental toxicity	DEHP	2275	Sprague Dawley rats: Group 2	GD 14 - 20		Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=3)	Male	oral gavage	developmental (GD 14 to 20)	GD 14 to 20	23307	Testosterone (Testes) production		Cultured testes	Testosterone (testes) production				GD 20 24 hr incubation	Continuous	0.0, 117.0, 234.0, 469.0, 938.0 mg/kg-day	mg/kg-day	ng/testis	0	-91.47465438	117				938	35864	4	938	3		0.37	0.103923048	0.11	0.63	FALSE	-91.47465438	-94.77639976	-88.172909
174402	FALSE		Howdeshell et al. 2008		FALSE	1232	Developmental toxicity: DPP	DPP	2290	Sprague Dawley rats: DPP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=4-6)	Male	oral gavage	developmental		23344	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 25.0, 50.0, 100.0, 200.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-61.62988115	25				200	35927	0	0	5		5.89	0.804984472	4.89	6.89	FALSE	0	-16.94175025	16.94175025
174402	FALSE		Howdeshell et al. 2008		FALSE	1232	Developmental toxicity: DPP	DPP	2290	Sprague Dawley rats: DPP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=4-6)	Male	oral gavage	developmental		23344	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 25.0, 50.0, 100.0, 200.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-61.62988115	25				200	35928	1	25	4		5.3	1.2	3.39	7.21	FALSE	-10.01697793	-32.70713748	12.67318162
174402	FALSE		Howdeshell et al. 2008		FALSE	1232	Developmental toxicity: DPP	DPP	2290	Sprague Dawley rats: DPP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=4-6)	Male	oral gavage	developmental		23344	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 25.0, 50.0, 100.0, 200.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-61.62988115	25				200	35929	2	50	4		5	0.9	3.57	6.43	FALSE	-15.11035654	-33.21158863	2.990875561
174402	FALSE		Howdeshell et al. 2008		FALSE	1232	Developmental toxicity: DPP	DPP	2290	Sprague Dawley rats: DPP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=4-6)	Male	oral gavage	developmental		23344	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 25.0, 50.0, 100.0, 200.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-61.62988115	25				200	35930	3	100	6		3.26	0.734846923	2.49	4.03	TRUE	-44.65195246	-56.63628051	-32.66762441
174402	FALSE		Howdeshell et al. 2008		FALSE	1232	Developmental toxicity: DPP	DPP	2290	Sprague Dawley rats: DPP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=4-6)	Male	oral gavage	developmental		23344	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 25.0, 50.0, 100.0, 200.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-61.62988115	25				200	35931	4	200	4		2.26	0.74	1.08	3.44	TRUE	-61.62988115	-74.77232181	-48.48744049
174402	FALSE		Howdeshell et al. 2008		FALSE	1233	Developmental toxicity: DIBP	DIBP	2291	Sprague Dawley rats: DiBP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=2-8)	Male	oral gavage	developmental		23345	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-63.33333333	100				900	35932	0	0	5		5.7	0.290688837	5.34	6.06	FALSE	0	-6.321782731	6.321782731
174402	FALSE		Howdeshell et al. 2008		FALSE	1233	Developmental toxicity: DIBP	DIBP	2291	Sprague Dawley rats: DiBP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=2-8)	Male	oral gavage	developmental		23345	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-63.33333333	100				900	35933	1	100	8		5.44	0.537401154	4.99	5.89	FALSE	-4.561403509	-12.36432137	3.241514355
174402	FALSE		Howdeshell et al. 2008		FALSE	1233	Developmental toxicity: DIBP	DIBP	2291	Sprague Dawley rats: DiBP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=2-8)	Male	oral gavage	developmental		23345	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-63.33333333	100				900	35934	2	300	5		3.4	0.626099034	2.62	4.18	TRUE	-40.35087719	-50.34134932	-30.36040507
174402	FALSE		Howdeshell et al. 2008		FALSE	1233	Developmental toxicity: DIBP	DIBP	2291	Sprague Dawley rats: DiBP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=2-8)	Male	oral gavage	developmental		23345	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-63.33333333	100				900	35935	3	600	5		2.31	0.782623792	1.34	3.28	TRUE	-59.47368421	-71.64435476	-47.30301366
174402	FALSE		Howdeshell et al. 2008		FALSE	1233	Developmental toxicity: DIBP	DIBP	2291	Sprague Dawley rats: DiBP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=2-8)	Male	oral gavage	developmental		23345	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-63.33333333	100				900	35936	4	900	2		2.09	1.286934342	-9.47	13.65	TRUE	-63.33333333	-94.66745987	-31.99920679
174402	FALSE		Howdeshell et al. 2008		FALSE	1234	Developmental toxicity: DEP	DEP	2292	Sprague Dawley rats: DEP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=3-9)	Male	oral gavage	developmental		23346	Testosterone (Testes) production			Testosterone (testes) production				GD 18 2 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/2 hr	2	-12.17391304	100				900	35937	0	0	9		3.45	0.45	3.1	3.8	FALSE	0	-12.05155905	12.05155905
174402	FALSE		Howdeshell et al. 2008		FALSE	1234	Developmental toxicity: DEP	DEP	2292	Sprague Dawley rats: DEP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=3-9)	Male	oral gavage	developmental		23346	Testosterone (Testes) production			Testosterone (testes) production				GD 18 2 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/2 hr	2	-12.17391304	100				900	35938	1	100	4		3.71	0.34	3.17	4.25	FALSE	7.536231884	-5.777464627	20.8499284
174402	FALSE		Howdeshell et al. 2008		FALSE	1234	Developmental toxicity: DEP	DEP	2292	Sprague Dawley rats: DEP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=3-9)	Male	oral gavage	developmental		23346	Testosterone (Testes) production			Testosterone (testes) production				GD 18 2 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/2 hr	2	-12.17391304	100				900	35939	2	300	5		3.03	0.357770876	2.59	3.47	FALSE	-12.17391304	-23.94847723	-0.399348861
174402	FALSE		Howdeshell et al. 2008		FALSE	1234	Developmental toxicity: DEP	DEP	2292	Sprague Dawley rats: DEP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=3-9)	Male	oral gavage	developmental		23346	Testosterone (Testes) production			Testosterone (testes) production				GD 18 2 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/2 hr	2	-12.17391304	100				900	35940	3	600	3		3.73	0.675499815	2.05	5.41	FALSE	8.115942029	-15.87983742	32.11172147
174402	FALSE		Howdeshell et al. 2008		FALSE	1234	Developmental toxicity: DEP	DEP	2292	Sprague Dawley rats: DEP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=3-9)	Male	oral gavage	developmental		23346	Testosterone (Testes) production			Testosterone (testes) production				GD 18 2 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/2 hr	2	-12.17391304	100				900	35941	4	900	3		3.22	0.259807621	2.57	3.87	FALSE	-6.666666667	-18.32343121	4.990097877
174402	FALSE		Howdeshell et al. 2008		FALSE	1235	Developmental toxicity: DEHP	DEHP	2293	Sprague Dawley rats: DEHP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=4)	Male	oral gavage	developmental		23347	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-77.52808989	100				900	35942	0	0	4		6.23	2.56	2.16	10.3	FALSE	0	-56.94990346	56.94990346
174402	FALSE		Howdeshell et al. 2008		FALSE	1235	Developmental toxicity: DEHP	DEHP	2293	Sprague Dawley rats: DEHP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=4)	Male	oral gavage	developmental		23347	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-77.52808989	100				900	35943	1	100	4		5.11	0.66	4.06	6.16	FALSE	-17.97752809	-52.60091204	16.64585586
174402	FALSE		Howdeshell et al. 2008		FALSE	1235	Developmental toxicity: DEHP	DEHP	2293	Sprague Dawley rats: DEHP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=4)	Male	oral gavage	developmental		23347	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-77.52808989	100				900	35944	2	300	4		3.59	0.24	3.21	3.97	TRUE	-42.37560193	-65.88585017	-18.86535368
174402	FALSE		Howdeshell et al. 2008		FALSE	1235	Developmental toxicity: DEHP	DEHP	2293	Sprague Dawley rats: DEHP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=4)	Male	oral gavage	developmental		23347	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-77.52808989	100				900	35945	3	600	4		2.53	0.76	1.32	3.74	TRUE	-59.39004815	-79.64739317	-39.13270314
174402	FALSE		Howdeshell et al. 2008		FALSE	1235	Developmental toxicity: DEHP	DEHP	2293	Sprague Dawley rats: DEHP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=4)	Male	oral gavage	developmental		23347	Testosterone (Testes) production			Testosterone (testes) production				GD 18 3 hr incubation	Continuous	0.0, 100.0, 300.0, 600.0, 900.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-77.52808989	100				900	35946	4	900	4		1.4	0.5	0.6	2.2	TRUE	-77.52808989	-89.5177453	-65.53843447
174402	FALSE		Howdeshell et al. 2008		FALSE	1236	Developmental toxicity: DBP	DBP	2294	Sprague Dawley rats: DBP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=3-4)	Male	oral gavage	developmental		23348	Testosterone (Testes) production			Testosterone (testes) production				GD 18 2 hr incubation	Continuous	0.0, 33.0, 50.0, 100.0, 300.0, 600.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-67.15063521	33				600	35947	0	0	3		5.51	0.640858799	3.92	7.1	FALSE	0	-18.61320645	18.61320645
174402	FALSE		Howdeshell et al. 2008		FALSE	1236	Developmental toxicity: DBP	DBP	2294	Sprague Dawley rats: DBP	GD 8 - 18	GD 18	Rat	Rat Sprague-Dawley	SD	F1	F1 Rat, Sprague-Dawley (♂)	F1 Rat, Sprague-Dawley (♂, N=3-4)	Male	oral gavage	developmental		23348	Testosterone (Testes) production			Testosterone (testes) production				GD 18 2 hr incubation	Continuous	0.0, 33.0, 50.0, 100.0, 300.0, 600.0 mg/kg-day	mg/kg-day	ng/testis/3 hr	2	-67.15063521	33				600	35948	1	33	4		5.16	0.92	3.7	6.62	FALSE	-6.352087114	-26.83780835	14.13363412
